,Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Latitude,Longitude
0,Biryani By Kilo,"Biryani,Mughlai,Kebabs,Hyderabadi,North Indian,Lucknowi,Desserts,Beverages",4.1,600,Khare Town,Dharampeth,"Commercial First Floor, F1 & F2 INDU YASH II, 186, Dharampeth Extn, Ramnagar Square, Nagpur",False,21.1409684,79.0624344
1,Haldirams Sweets & Namkeen,"Sweets,Bakery,Beverages",4.6,300,Sitabuldi,SITABULDI,"ABHYANKAR ROAD, SITABULDI,NAGPUR",False,21.1414478,79.0824843
2,Pind Punjabi,"North Indian,Chinese",3.3,200,Loha Pul,"Loha Pul, Pind","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",True,,
3,Behrouz Biryani,"Biryani,Mughlai,Lucknowi,Hyderabadi,Kebabs,North Indian,Persian,Desserts",3.9,500,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",False,,
4,Jay Ambika Bhojnalay,"North Indian,Indian",4.0,300,Ganeshpeth Colony,Gandhibagh,Shop no13 opp. Rahul hotel Ganeshpeth bus stand,True,21.1543273,79.1058527
5,Foody Moody Thali,"Indian,Thalis,Chinese,Biryani,North Indian,Punjabi,Desserts",3.4,200,Loha Pul,"Loha Pul, Foody","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",False,,
6,Subway,"Healthy Food,Salads,Snacks,Desserts,Beverages",4.1,350,Khare Town,Dharampeth,"G2, Indu Yash Complex, Cement Road, Ramnagar, Near, Dharampeth, Nagpur",False,21.1409684,79.0624344
7,KFC,"American,Snacks,Biryani",3.9,400,Sitabuldi,"Ground Floor, Eternity Mall, Variety Square","G1, G2, Ground Floor, Eternity Mall, Variety Square, Sitaburdi, Nagpur, Maharashtra 440010",False,,
8,McDonald's,"Burgers,Beverages,Cafe,Desserts",4.1,400,Medical Square,Trillum Mall,"Restaurant no 3, 3rd Floor, Trillum mall, Ram Bag Layout, Untkhana Road, Nagpur, 440003",False,,
9,Babbu Hotel,"Biryani,Mughlai,North Indian,Beverages",3.7,300,Mominpura,Gandhibagh,"Near Bakra Mandi, Mominpura Chowk, Mominpura, Nagpur",False,21.1543273,79.1058527
10,Biryani Story,"Biryani,Indian,North Indian,Mughlai,Punjabi",2.8,200,Loha Pul,"Loha Pul, Biryani Story","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",False,,
11,Mullaji Zillah Biryani Center,Biryani,4.1,250,Sadar,Sadar,"SHOP NO 52 MINI MANGALWARI BAJAR COMPLEX SADAR , District - Nagpur-1, STATE - Maharashtra - 440001",False,21.1592054,79.0795595
12,Burger Singh (Big Punjabi Burgers),"Fast Food,Snacks,Beverages,Indian,American,Desserts,Combo",4.0,300,Laxminagar,Shradhanand Peth,"Plot no 122, Ambazari Road, Shradhanand peth, Opposite to Tanishq Jewellery Showroom, Nagpur-440010",False,,
13,The Smoked Biryani,"Indian,Thalis,Chinese,Biryani,North Indian,Punjabi,Desserts,Combo",3.0,200,Loha Pul,"Loha Pul, Smoked","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",False,,
14,Moti Mahal Delux,"North Indian,Mughlai,Biryani,Tandoor,Kebabs",4.1,350,Sitabuldi,Cotton Market,"COTTON MARKET CHOWK, NAGPUR, - 440012",False,21.146007400000002,79.09064525
15,Al Zam Zam,"Biryani,Indian,North Indian,Chinese,Mughlai,Tandoor",3.8,300,Vivekanand Nagar,Vivekanand Nagar,"Shop No. G3, Laxmidas Appt., Besides Sai Mandir, Wardha Rd, Nagpur, Maharashtra 440015",False,21.116676849999998,79.07084233219382
16,Shree Ganesh Bhojnalaya,"Indian,Chinese",2.5,200,Loha Pul,"Loha Pul, Ganesh","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",False,,
17,Taste of Biryani,North Indian,2.7,200,Loha Pul,"Loha Pul, Biryani","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",False,,
18,Krishnum Restaurant,"South Indian,Indian,Chinese,Fast Food,Beverages",3.9,200,Mominpura,CA road,"CA ROAD, CENTRAL AVENUE , GANDHIBAGH",False,,
19,Barbeque Nation,"North Indian,Barbecue,Biryani,Kebabs,Mughlai,Desserts",3.9,600,Sitabuldi,"Amravati Rd, Eternity Mall","2nd Floor Eternity Mall, Amravati Rd, Variety Square, Sitabuldi, Nagpur, Maharashtra 440012",False,,
20,Calcutta Roll Center,"Chinese,Fast Food,North Indian,Indian,Snacks,Tandoor,Bengali,Street Food",3.8,250,Chhaoni,Sadar,"Achraj Tower, Katol Road, Sadar, Nagpur",False,21.1592054,79.0795595
21,NAMRATA'S KITCHEN,North Indian,,300,Sitabuldi,Nandanvan,"Baba Farid nagar, koradi road, near buddha vihar.",False,21.1375622,79.1226825
22,UBQ by Barbeque Nation,"North Indian,Barbecue,Biryani,Kebabs,Mughlai,Desserts",3.9,300,Sitabuldi,NAGPUR,"Unit - K1 to FC- 6, 2nd floor, eternity mall, verity chowk, nagpur-440024",False,21.1498134,79.0820556
23,Sangam Restaurant,"North Indian,South Indian,Pizzas,Biryani,Street Food,Chinese,Desserts,Sweets",4.2,400,Medical Square,medical square,"Medical Square, Near IO Petrol Pump.",False,21.1314468,79.09772286952142
24,Taste Of Indore,"Street Food,North Indian,Snacks",4.0,70,Sitabuldi,Sitabuldi,"Mahajan Market Road, Sitabuldi, Nagpur",True,21.1414478,79.0824843
25,Corridor Seven Coffee Roasters,"Continental,Salads,Healthy Food,Desserts,Beverages",4.5,500,Sitabuldi,Sitabuldi,"86, Mahajan Market, Behind Ketkar Hospital, Sitabuldi, Nagpur 440012, District - Nagpur-1, STATE - Maharashtra -  440012",False,21.1414478,79.0824843
26,Babbu's Food Plaza,"North Indian,Biryani,Tandoor,Indian,Mughlai",3.7,250,Civil Lines,Sadar,"VCA stadium, civil lines",False,21.1592054,79.0795595
27,Pizza Hut,"Pizzas,Fast Food",3.2,300,Sitabuldi,"1st Flr, Eternity Mall, Variety Square","SN F1 & F2, 1st Flr, Eternity Mall, Variety Square, Sitabuldi, Nagpur, Maharashtra 440012",False,,
28,Gulshan Plaza,"North Indian,Mughlai,Maharashtrian,Biryani,Desserts,Beverages",3.5,400,"Sitabuldi, Nagpur",Sitabuldi,in front of zero miles metro station near sitabuldi,False,21.1414478,79.0824843
29,Rolls Mania,Fast Food,4.0,200,Pratap Nagar,"Shewalkar Garden, Gopal Nagar","Shop 32, Upper Ground Floor, Shewalkar Gardens, Opposite Reliance Fresh, Gopal Nagar, Pratap Nagar, Nagpur",False,,
30,Shankar Bhojnalaya (Pure Veg),"Indian,Thalis,Chinese,Biryani,North Indian,Punjabi,Desserts",3.3,200,Lokmat Chowk,"Lokmat Chowk, Shankar","Lokmat Square, Dhantoli, Nagpur, Maharashtra 440012, India",True,,
31,Haldiram's Thaat Baat Restaurant,"North Indian,Biryani,Thalis,Snacks,South Indian,Chinese,Pizzas,Beverages",4.0,300,Sitabuldi,Sitabuldi,"Abhyankar Road, Sitabuldi, Nagpur",True,21.1414478,79.0824843
32,GULAB  BHOJNALAYA,North Indian,,400,Sitabuldi,Sitabuldi,"REFUGEE SHOP NO3 NEAR ANAND  TALKIES, Zone no.2 -Dharampeth, Nagpur  (Urban), Nagpur, Maharashtra - 440012",False,21.1414478,79.0824843
33,gulab restaurant,North Indian,,400,Sitabuldi,Sitabuldi,"REFUGEE SHOP NO3 NEAR ANAND  TALKIES, Zone no.2 -Dharampeth, Nagpur  (Urban), Nagpur, Maharashtra - 440012",False,21.1414478,79.0824843
34,Saoji Jagdish Bhojnalaya,"Maharashtrian,North Indian,Biryani,Desserts",3.3,400,Gandhibagh,Gandhibagh,"Subhash Road, Ganesh Peth, Gandhibagh, Nagpur",False,21.1543273,79.1058527
35, Royal Chinese and fastfoods,Chinese,,200,Nandanvan,Nandanvan,"back side, railway station, near nagpur, Scooter Parking, Near Cotton Market Road, Mominpura, Nagpur, Maharashtra 440018",False,21.1375622,79.1226825
36,Anand Bakery,"Bakery,Desserts",4.3,200,Sitabuldi,Sitabuldi,"Main Road, Sitabuldi, Nagpur,Sitabuldi,Nagpur",False,21.1414478,79.0824843
37,Haldiram's Planet Food,"North Indian,Biryani,Thalis,Snacks,South Indian,Chinese,Pizzas,Beverages",4.3,300,Sitabuldi,Munje Chowk,"Abhyankar Marg, Munje Chowk, Sitabuldi, Nagpur, Maharashtra 440012",True,,
38,SAI CHINESE CENTER,"Chinese,Beverages",4.0,150,Nandanvan,Nandanvan,"IMAMWADA, LONGMARCH CHOWK, GHAT ROAD, NAGPUR 440003",True,21.1375622,79.1226825
39,Shree Ganesh Sagar,"North Indian,South Indian,Thalis,Chinese,Beverages",3.9,600,Dhantoli,Dhantoli,"B 2/5 Saraf Court, Opposite Yashwant Stadium, Dhantoli, Nagpur",True,21.1339435,79.0805662
40,Hotel President's Khana Khazana,"Indian,Chinese",,400,Sitabuldi,Sitabuldi,"Modi No. 3, Sitabuldi, Nagpur, Maharashtra",True,21.1414478,79.0824843
41,Hungry Hippy,"Chinese,Fast Food,Snacks",,200,Sitabuldi,Sitabuldi,"41, Rahul bazar, Sitabuldi, Nagpur, Maharashtra 440012, India",False,21.1414478,79.0824843
42,Side Walk - Hotel Hardeo,"North Indian,Fast Food",,500,Sitabuldi,Sitabuldi,"Dr. Munje Marg, Sitaburdi, Nagpur, Nagpur urban, Nagpur-1, Maharashtra-440012",False,21.1414478,79.0824843
43,Kalpataru - Hotel Hardeo,"North Indian,Fast Food",,500,Sitabuldi,Sitabuldi,"Dr. Munje Marg, Sitaburdi, Nagpur, Nagpur urban, Nagpur-1, Maharashtra-440012",False,21.1414478,79.0824843
44,Raj Sweets,Sweets,,300,Cotton Market,Gandhibagh,"Raj Sweets, Bajeria, Nagpur, Maharashtra, India",True,21.1543273,79.1058527
45,Pizza Ever,"Pizzas,Beverages",3.1,300,Mahal,Mahal,"Mahal,gujarwada,beside matru seva Sangh, near navyug Vidyalaya,Arnolds gym,near ganesh Mandir",True,21.1430002,79.1101724
46,MUMKINS XPRESS,"North Indian,Chinese,South Indian,Oriental",,300,Ganeshpeth Colony,"Cotton Market Road, Near City Bus Stand","20, New Cotton Market Rd, Ganeshpeth Colony, Nagpur, Maharashtra 440018",True,,
47,Singh's - Dhantoli,"Indian,Chinese,Mughlai,Biryani",4.1,500,Dhantoli,Dhantoli,"Shop 6 & 7, Yashwant Stadium, Near Patwardhan Ground, Dhantoli, Nagpur",False,21.1339435,79.0805662
48,OM PURE VEG RESTAURANT,"North Indian,Indian",,200,Panchasheel Chowk,Pratap Nagar,OPPOSITE PANCHSHEEL THEATER RAMDASPETH NAGPUR NAGPUR URBAN NAGPUR 1 MAHARASHTRA,True,21.1137148,79.0567838
49,SHREE KI RASOI,"Thalis,Combo",,200,Sadar,Sadar,"NPK SALVE MARG NRAR DRM OFFICE MOHAN NAGAR, NAGPUR, -440001",True,21.1592054,79.0795595
50,Novelty Pure Veg Restaurant,"North Indian,Thalis,Beverages",3.9,300,Cotton Market,Gandhibagh,"Opposite Chandralok Building, C.A Road, Gandhibagh, Nagpur",True,21.1543273,79.1058527
51,New Amar Prem,Fast Food,,300,Sitabuldi,Sitabuldi,"Vadra Road, Sitabuldi, Nagpur",True,21.1414478,79.0824843
52,Krishnum Food Plaza,"South Indian,Biryani,Pizzas,Thalis,North Indian,Indian,American",3.8,200,Sadar,Sadar,"Mount Road, Sadar, Nagpur",False,21.1592054,79.0795595
53,Miki Momos,"Chinese,Afghani,Tandoor,Fast Food",4.0,300,Sitabuldi,Sitabuldi,"26, Central Park Rd, Godhni, Dhantoli, Nagpur, Maharashtra 440012, India",False,21.1414478,79.0824843
54,THE OPERA HOUSE,"Chinese,Italian,Thai,French",,1000,Sitabuldi,Sitabuldi,OLD REGENT TALKIES VARIETY SQUARE WARDHA ROAD SITABULDI NAGPUR NAGPUR URBAN NAGPUR 1 MAHARASHTRA,False,21.1414478,79.0824843
55,BROWNY TESTA,"Desserts,Beverages",,300,Sitabuldi,Sitabuldi,"GROUND FLOOR, BESIDE KFC  RESTAURANT, ETERNITY MALL, SITABULDI,  Zone no.4 -Dhantoli, Nagpur urban,  Nagpur-1, Maharashtra - 440012",True,21.1414478,79.0824843
56,Vina Vihar,Fast Food,4.1,300,Dhantoli,Sitabuldi,Vina vihar Shankar bhawan mehadiya Chowk Dhantoli  nagpur,True,21.1414478,79.0824843
57,PVR,"Snacks,Fast Food,Beverages",,400,Gandhibagh,PVR Empress Nagpur,"PVR Ltd. 3rd Floor, Empress City Mall, Near Gandhi Sagar Lane, Nagpur -440018.",False,21.1481331,79.0932141
58,Goli Vada Pav No.1,"Snacks,Maharashtrian,Fast Food,Beverages",,200,Dhantoli,RAMDASPETH,"Ground floor, plot No- 10/1, shop No- 1B, house No- 5B/1, SK society, neharu marg, Dhantoli, Nagpur 440012",False,21.1365853,79.0749872
59,D9 Restaurant,"North Indian,Chinese",,300,Civil Lines,Sitabuldi,Oppsite Eternity MAll,False,21.1414478,79.0824843
60,BALAJI BHOJNALAYA,North Indian,,200,Gandhibagh,Gandhibagh,SHOP NO 15 RAHUL COMPLEX  BHAVAN ST BUS STAND GANESHPETH NAGPUR ZONE NO 5 HANUMANNAGAR  NAGPUR URBAN 1,False,21.1543273,79.1058527
61,Checkers,"Chinese,North Indian,Indian,Tandoor,Continental,Beverages,Pizzas,Desserts",4.3,300,Sadar,Sadar,"Shop No.13-17 SJTI Complex, Residency Rd, Sadar, Nagpur, Maharashtra 440001, India",False,21.1592054,79.0795595
62,The Liar's Cafe,"Pizzas,Italian,Snacks,Beverages",,300,Sitabuldi,Sitabuldi,"Orange City Tower, Central Park Rd, Godhni, Dhantoli, Nagpur, Maharashtra 440012, India",False,21.1414478,79.0824843
63,Paratha Shop,"North Indian,Indian,Snacks,Beverages,Punjabi,Sweets,Desserts",4.2,250,Sadar,Sadar,"Guman Building, Residency Road, Sadar, Nagpur",True,21.1592054,79.0795595
64,NS FAST FOOD & DAILY NEEDS,Fast Food,,300,Gandhibagh,Nandanvan,542 SANTRA MARKET ROAD MAHATMA FULE BAZAR NAGPUR-440018,True,21.1375622,79.1226825
65,Fou Shacks Cake Boutique,Bakery,,300,Sitabuldi,Sitabuldi,"SHOP NO. 8, NIYOGI BHAWAN, ABHYANKAR MARG, MEHADIA SQUARE, DHANTOLI, Nagpur urban, Nagpur-1 (Maharashtra), - 440012",False,21.1414478,79.0824843
66,FSB,"Indian,Continental,Italian,Chinese,Asian,North Indian,Desserts",4.1,500,Dhantoli,Dhantoli,"B/9, Orange City Towers, Opposite Tilak Patrakar Bhavan, Dhantoli, Nagpur",False,21.1339435,79.0805662
67,RasKunj,"Desserts,Beverages,Juices",4.3,250,Ramdaspeth,Ramdaspeth,"Panchsheel Building, Ramdaspeth, Nagpur",True,21.1365853,79.0749872
68,Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts,Ice Cream",4.7,300,Ganeshpeth Colony,Gandhibagh,"FLAVOURS: HOUSE NO 741/A, NEAR DR.AKARE, MODEL MILL GATE, GANESHPETH, NAGPUR, MAHARASHTRA-440018",False,21.1543273,79.1058527
69,Mom's Maggy mania,Snacks,4.0,180,Sitabuldi,Sitabuldi,"527, Sitabuldi, Nagpur, Maharashtra 440012, India",False,21.1414478,79.0824843
70,MoMo's Hub,"Chinese,Snacks",,200,Nandanvan,Nandanvan,"535  Gadikhana Ganeshpeth Colony, Nagpur, Maharashtra 440018, India",False,21.1375622,79.1226825
71,Shabana Bakery,"Bakery,Desserts,Pizzas,Pastas,Chinese,Snacks,Fast Food",4.0,250,Byramji Town,Byramji Town,"36, Koradi Rd, Byramji Town, Nagpur",False,21.1725703,79.0829949
72,TDS Restro Lounge,"Indian,Oriental,Chinese,Continental,Seafood,Beverages",3.7,1200,Sitabuldi,Sitabuldi,"12, Farmland, Milestone Building, 5th floor, Shop No. 16, Ramdaspeth, Wardha Road, Nagpur, District - Nagpur-1, STATE - Maharashtra",False,21.1414478,79.0824843
73,Fuel Station Cafe & Restro,"Fast Food,Beverages",3.9,250,Ramdaspeth,Shankar Nagar Square,"Kamlakar Palace, Opposite NIT Garden, Shankar Nagar Square, Nagpur",False,21.1362125,79.0616442
74,SardaarJi,"North Indian,Fast Food,Mughlai,Biryani,Desserts,Punjabi,Beverages",4.1,300,Sitabuldi,Sitabuldi,"Shop no. 14-19, Pushpakunj Commercial Complex, Near Center Point Hotel, Central Bazar Road, Ramdaspeth, Nagpur 440010",False,21.1414478,79.0824843
75,Dinshaw's Icecream - Tatabaugh,"Ice Cream,Desserts,Beverages",4.4,300,Gandhibagh,"Gandhibagh, Tatabagh","HOUSE NO. 6/A, NEAR TATA PARSI HIGH SCHOOL, OPP. SHUKRAWARI TALAV, NAGPUR",True,,
76,Tapri Chaha Katta,"Beverages,Snacks,Juices",,200,Sitabuldi,Sitabuldi,"""7, Meh-Adia, Choti Chantoli (Dhantoli), Nagpur 440025 Dhantoli Nagpur",False,21.1414478,79.0824843
77,Babbu's Arabian,"Biryani,Mughlai,North Indian",,300,Cotton Market,Dharampeth,"central avenue road, dosar bhawan, behind traffic police chowky, bajaria",False,21.1409684,79.0624344
78,Pizzaland,Pizzas,4.0,300,Sitabuldi,Sitabuldi,"Amarjyoti Complex, Chitale Marg, Lokmat Square, Ramdaspeth, Nagpur, Maharashtra 440012, India",True,21.1414478,79.0824843
79,New Sizzling Snacks & Bakery,"Bakery,Snacks",,150,Gandhibagh,motibagh,"Shop no 199 Rai Ashiyana Appt,Moti Bagh Jagrut Nagar,440018",False,,
80,Varhadi That,"Maharashtrian,Indian,Desserts,Tandoor,Biryani",4.4,250,Dhantoli,Dhantoli,"Ganesh Chamber, Dhantoli",False,21.1339435,79.0805662
81,Veeraswami,"South Indian,Snacks,Beverages",4.3,300,Sadar,Sadar,"LIC Building, Link Road, Mount Road Extension, S.Bazar, Sadar, Nagpur",True,21.1592054,79.0795595
82,The Biryani Secrets - TBS,"Indian,Biryani",,350,Medical Square,Medical Square,"B004, Godrej Anandam, Model Mill Compound, Ganeshpeth, Nagpur, Maharashtra-440018",True,21.1314468,79.09772286952142
83,Hotel Tanveer,"North Indian,Mughlai,Biryani",3.3,300,Nandanvan,Nandanvan,"Masjid Ahlehadis Block Mohd Ali Road, Mominpura, Nagpur Urban- 440018",False,21.1375622,79.1226825
84,Fuel Station,Beverages,4.0,200,Ganeshpeth Colony,Futala,"Banode Enclave, New Shukrawari, Near Ashok Square, Above Fitness Courtyard Gym, Cement Road, Nagpur - 440018",True,21.1542829,79.04079229140112
85,Sindh Punjab Tadka,"North Indian,Mughlai,Indian,Punjabi,Biryani,Chinese,Desserts",3.6,200,Ramdaspeth,"Ramdaspeth, Sindh Punjab","Opposite Hotel Center Point, Ramdaspeth, Nagpur",False,,
86,THE DOWN TOWN CAFE AND RESTRO,"Fast Food,Burgers,Beverages",,250,Sitabuldi,Sitabuldi,"F NO BS 1 POOJA PALACE APARTMENT, DHANTOLI, NAGPUR, ZONE NO 4, DHANTOLI, NAGPUR (URBAN), NAGPUR, MAHARASHTRA- 440012",True,21.1414478,79.0824843
87,Moti Mahal Restaurant,"Indian,Chinese,Mughlai,Desserts",4.2,800,Sadar,Sadar,"Residency Road, Sadar, Nagpur",False,21.1592054,79.0795595
88,Amaira,"North Indian,Chinese,Desserts,Beverages,Italian,South Indian",4.3,400,Civil Lines,Civil Lines,"1st floor, above Axis bank, M.G.HOUSE, R.T.road, Civil lines, Nagpur",True,21.1545417,79.0788989
89,Oishi,"Asian,Chinese,Japanese",4.4,300,Gandhibagh,Nandanvan,"Hotel Woodlands, Beside HDFC Bank, Opp. Gitanjali Cinema, Central Avenue",False,21.1375622,79.1226825
90,Tauby's,"Bakery,Desserts,Snacks,Fast Food,Italian,Pizzas,American",3.9,250,Civil Lines,Sadar,"Behind Poonam Plaza, Civil Lines, Palm Road, Sadar, Nagpur",False,21.1729661,79.0795534
91,Hotel Bartania,"Biryani,Indian,North Indian,Chinese,Mughlai,Tandoor,Kebabs,Seafood",3.4,250,Mominpura,mominpura,Mohammad ali road mominpura,False,21.1561406,79.0962708
92,Hotel Brijinn,"North Indian,Beverages,Chinese,Fast Food,Snacks,Desserts",,300,Ganeshpeth,Nandanvan,"NEAR S.T. BUS STAND, KHURANA TRAVELS,  GANESHPETH, NAGPUR 440002",False,21.1375622,79.1226825
93,Biryani House (Pure Veg),"Indian,Mughlai,Chinese,Biryani,North Indian,Punjabi",2.9,200,Lokmat Chowk,"Lokmat Chowk, Biryani","Lokmat Square, Dhantoli, Nagpur, Maharashtra 440012, India",True,,
94,Saroj Bakery,"Bakery,Street Food,Combo",4.0,100,Nagpur,Sadar,"Opposite SFS School, Residency Road, Sadar, Nagpur",False,21.1729661,79.0795534
95,Dinshaw's Icecream - Tatabaugh,"Ice Cream,Desserts,Beverages",4.6,300,Gandhibagh,"Gandhibagh, Tatabagh","HOUSE NO. 6/A, NEAR TATA PARSI HIGH SCHOOL, OPP. SHUKRAWARI TALAV, NAGPUR",False,,
96,Nanking Chinese Restaurant,"Chinese,Asian,Seafood,Pan-Asian,Beverages,Thai,Korean,Singaporean",4.2,300,Civil Lines,civil lines,"167,R.T. Road, Civil Lines",False,21.1545417,79.0788989
97,Cake Links,Bakery,4.3,200,Sadar,Sadar,"Shop 13 - 15, VCA Stadium, Sadar, Nagpur",False,21.1729661,79.0795534
98,Liberty Family Restaurant,"North Indian,Chinese,Indian,Continental,Tandoor,Kebabs,Biryani,Italian,Mughlai",4.3,400,Sadar,Sadar,"Saraf Chamber Road, Sadar, Nagpur",False,21.1729661,79.0795534
99,Moksh - The Restro Lounge,"Italian,Continental,Thai,Chinese",3.4,400,Sitabuldi,Jhansi Rani Chowk,"Near Jhansi Rani Chowk, Nagpur",False,,
100,PARAG RESTAURANT,"North Indian,Indian,Mughlai,Chinese,Snacks",,300,Sitabuldi,Sitabuldi,NEAR PANCHSHEEL CINEMA SITABULDI NAGPUR NAGPUR URBAN NAGPUR 1 MAHARASHTRA,False,21.1414478,79.0824843
101,Burhanpur Jalebi,"Beverages,Fast Food",4.5,200,Mominpura,Nandanvan,"HOUSE NO.826, MOMENPURA, NAGPUR, MAHARASHTRA - 440018",True,21.1375622,79.1226825
102,Dahiya Momos (Ramdaspeth),Chinese,4.3,200,Ramdaspeth,Dharampeth,"280,	LENDRA	PARK RAMDASPETH-440010",False,21.1409684,79.0624344
103,SHREE SAOJI BHOJNALAYA,Chinese,,200,Sitabuldi,Sitabuldi,PANCHSEEL CHOWK NEAR PARAG BAR WARDHA ROAD NAGPUR URBAN 1,False,21.1414478,79.0824843
104,FOOD ON MOOD,"Chinese,Indian",,200,Sitabuldi,Sitabuldi,PANCHSEEL CHOWK NEAR PARAG BAR WARDHA ROAD NAGPUR URBAN 1,False,21.1414478,79.0824843
105,The Sandwich Box,Snacks,,200,Sitabuldi,Sitabuldi,"Amarjyoti Complex, Chitale Marg, Lokmat Square, Ramdaspeth, Nagpur, Maharashtra 440012, India",True,21.1414478,79.0824843
106,UDUPI GOKULA,"South Indian,Beverages",4.1,300,Sadar,Sadar,"3, Mount Rd, Opp. LIC Office, Mohan Nagar, Nagpur, Maharashtra 440001, India",True,21.1729661,79.0795534
107,THE SPICE FACTORY,"North Indian,Chinese,Beverages",,250,Gandhibagh,Gandhibagh,"HOTEL ATRANGI SAOJI, HOUSE NO 371 BESIDE B DOSAR BHAVAN CHOWK CENTRAL AVENUE ROAD NAGPUR URBAN NAGPUR 1 MAHARASHTRA -440018",False,21.1543273,79.1058527
108,Jubilee Bakery,"Burgers,Fast Food,Snacks,Desserts,Bakery",4.1,200,Byramji Town,Chaoni,"Shop 1, Dhadiwal Complex, Opposite MOIL Bhavan, Katol Road, Chhaoni, Nagpur",False,21.1697842,79.0796475
109,Shahi Biryani Darbar (Pure Veg),"Indian,Thalis,Chinese,Biryani,North Indian,Punjabi,Desserts",,200,Lokmat Chowk,"Lokmat Square, shahi","Lokmat Square, Dhantoli, Nagpur, Maharashtra 440012, India",True,,
110,Shree Ganesh Farsan,"Sweets,Snacks,Desserts,Beverages",4.4,100,Sadar,Gaddigodam,Gaddigodam sadar Nagpur,True,21.161297,79.083725
111,Roti Shoti (Pure Veg),"Indian,Thalis,Chinese,Biryani,North Indian,Punjabi,Desserts",,200,Lokmat Chowk,"Lokmat Square, Shoti","Lokmat Square, Dhantoli, Nagpur, Maharashtra 440012, India",True,,
112,Sanjha Chullah,"Indian,Chinese,North Indian,Tandoor,Kebabs,Mughlai,Desserts,Beverages",4.0,350,Sadar,Sadar,"opp Fidvi tower, near Saraf chambers, Mount Road, Sadar, Nagpur",False,21.1729661,79.0795534
113,Pav Bhaji Wala,"North Indian,Snacks,Biryani",,200,Ramdaspeth,"Ramdaspeth, Pav Bhaji","Plot no. 1151, Shop no.4250, Manoj Building, Ground Floor, Ramdaspeth, Nagpur",True,,
114,La Pino'Z Pizza,"Italian,Pizzas,Pastas,Desserts",3.7,300,Dharampeth,Dharampeth,"C/O ""YASHODA"", PLOT  NO. 20, SHOP NO. 5,  MATA MANDIR ROAD,  NEAR TRAFFIC PARK,  DHARAMPETH, NAGPUR- 440010., Nagpur urban,  Nagpur-1, Maharashtra- 440010",False,21.1409684,79.0624344
115,Centre Point Delivery,"North Indian,Chinese",4.1,1200,Ramdaspeth,Ramdaspeth,"Central Bazar Road, Hotel Centre Point, Ramdaspeth, Nagpur",False,21.1365853,79.0749872
116,Cafe Panda,"Pizzas,Beverages,Street Food,Snacks,Chinese,Italian",3.2,220,"Medical square, Ayodhya nagar","medical square, nagpur","plot no. 113, utkhana, near ambedkar school, nagpur",False,21.1314468,79.09772286952142
117,Ashoka Restaurant,"North Indian,Chinese,Continental,Indian,Mughlai,Desserts,Beverages",4.5,1100,Sadar,Sadar,"60, Sadar Bazar Main Road, Sadar, Nagpur",False,21.1729661,79.0795534
118,MAHALAXMI STREET HOUSE,"Pizzas,Fast Food,American",,200,Gandhibagh,Gandhibagh,HOUSE NO 617 WARD NO 34 GANDHI CHOWK GANJIPETH NAGPUR ZONE NO 6 GANDHIBAG NAGPUR URBAN NAGPUR MAHARASHTRA,True,21.1543273,79.1058527
119,Shanaya's Grill,"North Indian,Indian,Punjabi,Biryani,Chinese,Desserts",,200,Ramdaspeth,"Ramdaspeth, Shanaya","Opposite Centre Point Hotel, Ramdaspeth, Nagpur",False,,
120,Punjab Restaurant Kartar Singh Da Dhaba,North Indian,4.1,200,Sadar,Bajaj Nagar,"13, Gaddi Godam, Kamptee Road, Bajaj Nagar, Nagpur",False,21.1275893,79.0615901
121,Food Links,"Beverages,Snacks",3.9,250,Sadar,Sadar,"Shop 13-15, VCA Stadium, Sadar, Nagpur, Maharashtra",True,21.1729661,79.0795534
122,Navratna Raghav Restaurant,"North Indian,Gujarati,Indian,Desserts",4.1,350,Sadar,Sadar,"33, Salwe Square, Mount Road, Sadar, Nagpur",True,21.1729661,79.0795534
123,Taj Gulzar,"Indian,Chinese,Tandoor,North Indian",,399,Gandhibagh,Sadar,"BHAGWAGHAR CHOWK, HANSAPURI ROAD, NAGAR (Urban), Nagpur, Maharashtra-440018",False,21.1729661,79.0795534
124,Fitness Courtyard,"North Indian,Chinese,Desserts",4.4,250,Ganeshpeth Colony,Gandhibagh,"Banode Enclave, New Shukrawari, Near Ashok Square Bridge, Kashibai Temple, Gandhibagh, Nagpur",True,21.1543273,79.1058527
