,Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Latitude,Longitude
640,7 ML COFFEE,Beverages,,300,Dharampeth,Dharampeth,S D J SHOP NO G 6 PLOT NO 8 JAISHREE COMPLEX NORTH AMBAZARI ROAD DAGA LAYOUT NAGPUR ZONE NO 2 DHARAMPETH NAGPUR URBAN NAGPUR 1 MAHARASHTRA 440010,True,21.1409684,79.0624344
641,Drunken Monkey,"Healthy Food,Beverages,Juices,Desserts",4.1,300,Laxminagar,Bajaj Nagar,UFG 04 Shree Ganeshvignaharta Apartment Mate Chowk Nagpur 440010,False,21.1275893,79.0615901
642,Baskin Robbins,"Desserts,Ice Cream",4.5,250,Laxminagar,Bajaj Nagar,"baskin-robbins near 8 Rasta Chowk, Laxminagar, Nagpur, Maharashtra, India",True,21.1275893,79.0615901
643,Cake N Place,Bakery,,300,Bajaj Nagar,Bajaj Nagar,"Plot no. 252, Abyankar Nagar, Nagpur 440010",False,21.1275893,79.0615901
644,Bula's Kitchen,"North Indian,Chinese,Mughlai,Bengali,Tandoor,Indian,Fast Food,Snacks,Biryani,Seafood",4.1,350,Khamla,Khamla Square,"Khamla Square, Near Arun Automobiles, Pratap Nagar, Nagpur",False,,
645,Flavours,"Indian,Chinese,North Indian,Mughlai,Beverages,Desserts,South Indian,Ice Cream",4.1,400,Vivekanand Nagar,Vivekanand Nagar,"Ring Road, Central Excise Colony, Chhatrapati Square, Vivekanand Nagar, Nagpur",False,21.116676849999998,79.07084233219382
646,UNLTD PizzaZ,"Pizzas,Continental,Snacks,Combo",,350,North Ambazari Road,NIT Complex North Ambazari Road,"UNLtd PizzaZ, Shop No 4, NIT SANKUL, Opp NIT Swimming Pool, North Ambazari Road, Nagpur. 440033",False,,
647,Anaya Bakery,"Bakery,Fast Food,Chinese,Pizzas,South Indian",4.0,200,Teka Naka,Jaripatka,"Plot 17, Teka Naka, Kamatee Road, Jaripatka, Nagpur",False,21.1886888,79.0918769
648,Froozo Cafe,"Cafe,Fast Food,Italian,Waffle,Snacks",,399,Nandanvan,Nandanvan,"491, first floor, Nehru Nagar corner,  Nandanvan main road near Himalaya bar,  Nagpur 440009, Zone no.10-Mangalwari,  Nagpur (Urban), Nagpur, Maharashtra -  440009",True,21.1375622,79.1226825
649,The Paratha Shopee - Jaripatka,North Indian,4.0,300,Jaripatka,Jaripatka,plot no 19 indira Gandhi colony jaripatka Nagpur,False,21.1886888,79.0918769
650,Family Foods,"Maharashtrian,Indian,Sweets",3.8,300,Vivekanand Nagar,"W High Court Road, Surendra Nagar","Plot Number 37, Devashish Apartment, W High Court Road, Surendra Nagar, Vivekanand Nagar, Nagpur",True,,
651,DELHI WALE DAHI BHALLE & CHAT,Chaat,,100,Manish Nagar,Manish Nagar,KHANKHOJE NAGAR CEMENT ROAD MANEWADA ZONE NO 5 HANUMANNAGAR NAGPUR URBAN NAGPUR 1 MAHARASHTRA,True,21.1236132,79.0855402
652,MAD ABOUT MOMOS,"North Indian,Chinese",,399,Dharampeth,Dharampeth,"PLOT NO 091 BAJIPRABHU NAGAR RAM  NAGAR , Zone no.2 -Dharampeth, Nagpur  urban, Nagpur-1, Maharashtra - 440010",False,21.1409684,79.0624344
653,HUNGRY MOMOS,Chinese,,399,Dharampeth,Dharampeth,"PLOT NO 091 BAJIPRABHU NAGAR RAM  NAGAR , Zone no.2 -Dharampeth, Nagpur  urban, Nagpur-1, Maharashtra - 440010",False,21.1409684,79.0624344
654,The chai bike,"Beverages,Pizzas,Snacks",,250,Nandanvan,Nandanvan,"NEAR BHOUD VIHAR OLD  BHAGADGANJ, Nagpur (Urban),  Nagpur, , Maharashtra, 440008",True,21.1375622,79.1226825
655,MOMOS WORD AND LITTLE CAFE,Chinese,,249,Dharampeth,Dharampeth,25 NEAR NELCO SOCIETY GAJANAN NAGPUR URBAN NAGPUR 1 MAHARASHTRA 440022,False,21.1409684,79.0624344
656,T Leaf Studio,Beverages,,300,Nandanvan,Nandanvan,"Shop no.1, Plot no.222, Near Balaji Kirana, Opp Icici Bank, Nandavan Main Road, Zone no.3-Neharunagar, Nagpur urban, Nagpur-1, Maharashtra",False,21.1375622,79.1226825
657,PIZZA ADDA,Pizzas,,249,Dharampeth,Dharampeth,25 NEAR NELCO SOCIETY GAJANAN NAGPUR URBAN NAGPUR 1 MAHARASHTRA 440022,False,21.1409684,79.0624344
658,C-triangle,Bakery,,199,"Ashok Nagar, Panchpaoli","Ashok Nagar, Panchpaoli","9B, near Ashok bakery, Ashok Nagar, Balabhaupeth, Nagpur, Maharashtra 440017, India",True,,
659,Ramji Shamji Pohewale,"Fast Food,Street Food,Snacks",4.2,100,Wardha road,Wardha Road,NH44 Sindhi Khamla New Sneh Nagar Nagpur,True,21.1137775,79.070792
660,Chinese Only,"Chinese,Snacks,Pizzas",2.9,150,Ayodhya Nagar,MAHALAXMI NAGAR,2nd floar of scorpion gym mahalaxmi nagar no.2.  3rd lane  backside of bakde sabhagrih manewada road nagpur 440027,False,21.1772864,79.0452903
661,Maharashtrian Zaika,"Indian,North Indian,Snacks",,100,Sadar ,Kamptee,"1563/9,VAISHALI NAGAR,BEHIND NIT SWIMMING POOL,NAGPUR",True,21.2170645,79.1964178
662,Piyush Maratha Saoji,"Indian,Chinese",3.0,200,Wardha Road,Vivekanand Nagar,"Chatrapati Sqaure, Wardha Road, Opposite Sai Mandir, Vivekanand Nagar, Nagpur",False,21.116676849999998,79.07084233219382
663,Royal dakshin,South Indian,,200,Bajaj Nagar,Bajaj Nagar,"553/E/3, Laxminagar, Nagpur, Maharashtra 440020, India",False,21.1275893,79.0615901
664,CHICAGO BITES,"American,Fast Food",,150,Pratap Nagar,Pratap Nagar,PLOT NO 1 R P T S ROAD NEAR JERRYL LAWN LAXMI NAGAR ZONE NO 1 LAXMINAGAR NAGPUR URBAN NAGPUR 1 MAHARASHTRA,False,21.1137148,79.0567838
665,Dakshin Anandam,"South Indian,Snacks,Indian",,150,Bajaj Nagar,Bajaj Nagar,"553/6/29 NEAR WATER TANK LAXMI  NAGAR NAGPUR, Zone no.2 -Dharampeth,  Nagpur (Urban), Nagpur, Maharashtra -  440022",False,21.1275893,79.0615901
666,"Hotel Taj - Teka, Asi Nagar","Biryani,Mughlai,North Indian",3.9,300,Indora Chowk,Gandhibagh,"Hotel Taj, Aashi Nagar Chowk, Nagpur",False,21.1543273,79.1058527
667,Dawat Biryani,"Biryani,North Indian",3.5,200,Suyog Nagar,Dharampeth,"45, Shyam Bear Bar, Dwarkapuri, Rameshwari, Nagpur",False,21.1409684,79.0624344
668,Curry House,"Biryani,North Indian,Chinese,Combo",4.1,350,Laxminagar,Pratap Nagar,"Shop No UG-13, Ganesh Vighnaharta Apartment, RPTS Road, Pratap Nagar, Nagpur",False,21.1137148,79.0567838
669,Cake Day,"Bakery,Desserts",4.3,300,Ayodhya Nagar,Ayodhya Nagar,"Plot Number 12, Parwati Nagar, Rameshwari Road,Ayodhya Nagar,Nagpur",True,21.1205917,79.11011712375097
670,THE NAGPUR VINTAGE,"North Indian,Chinese",,400,Nandanvan,Nandanvan,"55, GURUDEV NAGAR, ZONE NO. 5, HANUMAN NAGAR, NAGPUR URBAN, NAGPUR- 1, MAHARASHTRA- 440024",False,21.1375622,79.1226825
671,Gloria Amul Shopee,"Ice Cream,Beverages",,300,Nandanvan,Nandanvan,"M1/64 M.I.G, NANDANVAN COLONY, NEAR HASANBAGH POLICE CHOWKI, NANDANVAN, Zone no.3 -Neharunagar, Nagpur urban, Nagpur-1, Maharashtra -",False,21.1375622,79.1226825
672,Foodie Heist Cafe,"Pizzas,Snacks,Continental",,250,Nandanvan,Nandanvan,"G1, Maruti arcade, Nandanvanam Main Rd, Mire Layout, Azamshah Layout, Nagpur, Maharashtra 440009, India",True,21.1375622,79.1226825
673,Dosashiyas & Yerne Amrutulya,"South Indian,North Indian,Street Food,Beverages",,300,Ayodhya Nagar,Ayodhya Nagar,"Shop no.5, H no. 4513, Plot no. 117, Near BSP Office, Kashi Nagar, Rameshwari Road, Nagpur-440027",False,21.1205917,79.11011712375097
674,Cafe Lockdown,Continental,,300,Sadar,Sadar,"Teka Naka, Behind Shitla Mata Mandir, Apartment Rai Galaxy-2, Shop No. 3, Nagpur-440014",False,21.1592054,79.0795595
675,RAJESHAHI BIRYANI,Biryani,,200,Ayodhya Nagar,Ayodhya Nagar,"HOUSE NO 46865/12, DATTATRYA  NAGAR, WARD NO 20, BEHIND  CHHOTA TAJBAGH, AYODHYA  NAGAR, NAGPUR, Nagpur (Urban),  Nagpur, , Maharashtra, 440024",False,21.1205917,79.11011712375097
676,Megha Juice and Foods,"Fast Food,Beverages",4.2,400,Pratap Nagar,Tata Topy Nagar,"Tatya Topy Nagar, Whc Road, Nagpur",True,,
677,Sweet Home Kitchen,"Snacks,Sweets,Fast Food",,300,Ayodhya Nagar,Ayodhya Nagar,"Plot No, 22, Manewada Rd, New Dnyaneshwar Nagar, Rameshwari, Nagpur, Maharashtra 440027, India",False,21.1205917,79.11011712375097
678,SHRI SURYA ICE CREAM AND PIZZA CORNER,Indian,,200,Ayodhya Nagar,Ayodhya Nagar,SHOP NO S 3 HOUSE NO 93/V MAHARAJA COMPLEX BHOSALE NAGAR NAGPUR- 440024,True,21.1205917,79.11011712375097
679,Manu's Missal Co.,"Fast Food,Maharashtrian,Street Food,Beverages",4.3,200,Khamla,Pratap Nagar,"Manu's Missal Co., near Pratap Nagar SQ, Near Pratap Nagar Square, Ganesh Colony, Nagpur, Maharashtra, India",True,21.1137148,79.0567838
680,Fluff Artisan Cafe,"Ice Cream,Beverages,Cafe,Continental,Desserts,American",3.5,250,Bajaj Nagar,Dharampeth,"Fluff Artisan Cafe, Shop No 17, J P Chambers, Wing 1 , South Ambazari Road, Mate Square, Madhav Nagar, Nagpur, Maharashtra, India",False,21.1409684,79.0624344
